VespoidQn'sCrown,Rathian Scale+,Rathalos Scale+,,女王虫の冠殻,雌火竜の上鱗,火竜の上鱗,,QueenVespoidShl,Rathian Scale+,Rathalos Scale+
ThickGarugaScale,ThkBullfangoPelt,RobustWyvernBone,,黒狼鳥の厚鱗,ファンゴの厚毛皮,堅牢な鳥竜骨,,Garuga Scale G,Bullfango Pelt+,BirdWyvnStoutBne
Dosbiscus,Dung,Wyvern Droppings,,ドスビスカス,モンスターのフン,飛竜のフン,,Dosbiscus,Dung,Wyvern Droppings
Chaos Mushroom,Honey,Honey,,混沌茸,ハチミツ,ハチミツ,,Chaoshroom,Honey,Honey
Springnight Carp,Net,Net,,春夜鯉,ネット,ネット,,Springnight Carp,Net,Net
Great Hornfly,Godbug,Monster Fluid,,オオツノアゲハ,不死虫,モンスターの体液,,Great Hornfly,Godbug,Monster Fluid
Sinister Cloth,Dragon Treasure,Dragon Treasure,,禍々しい布,龍秘宝,龍秘宝,,Sinister Cloth,Dragon Treasure,Dragon Treasure
Dragonmoss,Lg Monster Bone,Eldr Dragon Bone,,龍苔,竜骨【大】,古龍骨,,Dragonmoss,Lg Monster Bone,Elder Drgn Bone
Dragonmoss+,Monster Bone+,Hrd Monster Bone,,神龍苔,上竜骨,堅竜骨,,Dragonmoss+,Monster Bone+,Hrd Monster Bone
Dragonwood,Lg Monster Bone,Eldr Dragon Bone,,龍木,竜骨【大】,古龍骨,,Dragonwood,Lg Monster Bone,Elder Drgn Bone
Dragonwood+,Monster Bone+,Hrd Monster Bone,,神龍木,上竜骨,堅竜骨,,Dragonwood+,Monster Bone+,Hrd Monster Bone
Giant Corn,Honey,Honey,,オオモロコシ,ハチミツ,ハチミツ,,Great Corn,Honey,Honey
Tailed Frog,Frog,Frog,,オオシッポガエル,釣りカエル,釣りカエル,,Big-Tailed Frog,Frog,Frog
dummy,Mega Bugnet,Bugnet,,ファミ通チケット,虫あみグレート,虫あみ,,Famitsu Ticket,Mega Bugnet,Bugnet
dummy,Mega Bugnet,Bugnet,,ファミ通の注文書,虫あみグレート,虫あみ,,Famitsu Invoice,Mega Bugnet,Bugnet
dummy,dummy,dummy,,デンゲキチケット,ポリタン爆弾,ポリタン爆弾,,Dengeki Ticket,Polytan Bomb,Polytan Bomb
dummy,dummy,dummy,,電撃Ｇチケット,ポリタン爆弾,ポリタン爆弾,,Dengeki Ticket+,Polytan Bomb,Polytan Bomb
dummy,dummy,dummy,,「マ）王チケット,ポリタン爆弾,ポリタン爆弾,,One-HornedTicket,Polytan Bomb,Polytan Bomb
dummy,Bounce Bomb+,Bounce Bomb+,,アメザリの甲殻,打上げタル爆弾Ｇ,打上げタル爆弾Ｇ,,King Lobster Shl,Bounce Bomb+,Bounce Bomb+
dummy,Lg Barrel-Bomb+,Lg Barrel-Bomb,,ファミ通ＰＴ,大タル爆弾Ｇ,大タル爆弾,,Famitsu PT Tckt,Lg Barrel-Bomb+,Lg Barrel-Bomb
dummy,dummy,dummy,,電撃２Ｇチケット,ポリタン爆弾,ポリタン爆弾,,Dengeki Ticket G,Polytan Bomb,Polytan Bomb
Blackbelt Ticket,Special Mushroom,Special Mushroom,,クロオビチケット,特産キノコ,特産キノコ,,Blackbelt Ticket,Special Mushroom,Special Mushroom
Expert Ticket,Decayed Drgn Scl,Decayed Drgn Scl,,タツジンチケット,朽ちた龍鱗,朽ちた龍鱗,,Expert Ticket,Decayed Drgn Scl,Decayed Drgn Scl
Kut-Ku Coin,Kut-Ku Scale,Kut-Ku Shell,,クックコイン,怪鳥の鱗,怪鳥の甲殻,,Kut-ku Coin,Kut-Ku Scale,Kut-Ku Shell
Congalala Coin,Congalala Pelt,Congalala Fang,,ババコイン,桃毛獣の毛,桃毛獣の牙,,Congalala Coin,Congalala Pelt,Congalala Fang
Khezu Coin,Flabby Hide,Pale Extract,,アルビノコイン,ブヨブヨした皮,アルビノエキス,,Khezu Coin,Flabby Hide,Pale Extract
Daimyo Coin,Hermitaur Shell,Hermitaur Claw,,ダイミョウコイン,盾蟹の甲殻,盾蟹の爪,,Daimyo Coin,Hermitaur Shell,Hermitaur Claw
Blangonga Coin,Blangonga Pelt,Blangonga Whiskr,,ドドブラコイン,雪獅子の毛,雪獅子の髭,,Blangonga Coin,Blangonga Pelt,Blangonga Whiskr
Yian Garuga Coin,Garuga Scale,Garuga Shell,,ガルルガコイン,黒狼鳥の鱗,黒狼鳥の甲殻,,Yian Garuga Coin,Garuga Scale,Garuga Shell
Tigrex Coin,Tigrex Scale,Tigrex Shell,,レックスコイン,轟竜の鱗,轟竜の甲殻,,Tigrex Coin,Tigrex Scale,Tigrex Shell
Diablos Coin,Diablos Shell,Blos Fang,,ディアブロコイン,角竜の甲殻,角竜の牙,,Diablos Coin,Diablos Shell,Blos Fang
Gravios Coin,Gravios Shell,Lg Monster Bone,,グラビドコイン,鎧竜の甲殻,竜骨【大】,,Gravios Coin,Gravios Shell,Lg Monster Bone
Kirin Coin,Kirin Mane,Kirin Horn,,マボロシコイン,キリンのたてがみ,キリンの雷角,,Kirin Coin,Kirin Mane,Kirin Horn
Cephadrome Coin,Cephalos Scale,Cephalos Fin,,ドスガレコイン,砂竜の鱗,砂竜のヒレ,,Cephalos Coin,Cephalos Scale,Cephalos Fin
Plesioth Coin,Plesioth Scale,Plesioth Fin,,ガノスコイン,水竜の鱗,水竜のヒレ,,Plesioth Coin,Plesioth Scale,Plesioth Fin
Shogun Coin,Ceanataur Shell,Ceanataur Leg,,ショウグンコイン,鎌蟹の甲殻,鎌蟹の脚,,Shogun Coin,Ceanataur Shell,Ceanataur Leg
Fire Coin,Rathalos Scale,Rathalos Shell,,リオコイン,火竜の鱗,火竜の甲殻,,Fire Coin,Rathalos Scale,Rathalos Shell
Rajang Coin,Commendation,Blk Rajang Pelt,,キンピカコイン,勇気の証,金獅子の黒毛,,Rajang Coin,Commendation,Blk Rajang Pelt
BlackBeltCoinG,OrangeHypnoPelt+,E.CongalalaPelt+,,クロオビコインＧ,眠鳥の豪橙毛,緑毛獣の豪剛毛,,Blackbelt Coin G,Hypnoc Feather+,GrnCongalalaPelt
Expert Coin G,C.BlangongaPelt+,ThickNargaScale,,タツジンコインＧ,砂獅子の豪剛毛,迅竜の厚鱗,,Expert Coin G,Brwn BlngngaPelt,Naruga Thck Scl
Warrior Coin G,ThckLavasiothScl,TerraCeanatrClaw,,ツワモノコインＧ,溶岩竜の厚鱗,鎌蟹の朱爪,,Fighter Coin G,Volganos Thk Scl,RedCeanataurClaw
VeggieElderTcket,Max Potion,Lifecrystals,,山菜組引換券,秘薬,生命の粉,,VeggieElderTcket,Max Potion,Lifecrystals
VeggieElderTckt+,Ancient Potion,Lifepowder,,山菜組引換券Ｇ,いにしえの秘薬,生命の粉塵,,VeggieElderTckt+,Ancient Potion,Lifepowder
VegElderTcktBrz,Monster Bone+,Monster Bone+,,鋼の山菜組引換券,上竜骨,上竜骨,,VegElderTcktBrz,Monster Bone+,Monster Bone+
VegElderTcktSlv,Rathalos Plate,Rathalos Plate,,銀の山菜組引換券,火竜の逆鱗,火竜の逆鱗,,VegElderTcktSlv,Rathalos Plate,Rathalos Plate
VegElderTcktGld,Rathalos Ruby,Rathalos Ruby,,金の山菜組引換券,火竜の紅玉,火竜の紅玉,,VegElderTcktGld,Rathalos Ruby,Rathalos Ruby
VegElderTcktSky,HvnlyRathianScl,HvnlyRathalosScl,,天の山菜組引換券,雌火竜の天鱗,火竜の天鱗,,VegElderTcktDvne,RathianDvnePlate,RathlosDvnePlate
