,Large Barrel,大タル,Large Barrel,-,Medium,Infinite
,Gunpowder,爆薬,Gunpowder,-,Medium
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium
,Wyvern Ore,竜鉱石,Wyvern Ore,100 Pts,Medium
,Dragonrock,竜岩,Dragonrock,2000 Pts,Low

Area 2
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Gunpowder,爆薬,Gunpowder,-,Medium,5~8
,Screamer,鳴き袋,Screamer,-,Medium
,Book of Combos 4,調合書④上級編,Book of Combos 4,-,Medium
,Wyvern Grass,竜草,Wyvern Grass,100 Pts,Medium
,Book of Combos 5,調合書⑤達人編,Book of Combos 5,-,Low
,Dragonrock,竜岩,Dragonrock,2000 Pts,Low

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Fire Herb,火薬草,Fire Herb,-,Medium,5~8
,Flyn Crwn Frgmnt,ネコ王冠の破片,Felyne Crown Fragment,200 Pts,Medium
,Large Barrel,大タル,Large Barrel,-,Medium
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium
,Dragonrock,竜岩,Dragonrock,2000 Pts,Low

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Nitroshroom,ニトロダケ,Nitroshroom,-,Medium,10~15
,Wyvernshroom,竜茸,Wyvernshroom,200 Pts,Medium
,Blue Mushroom,アオキノコ,Blue Mushroom,-,Medium
,Toadstool,毒テングダケ,Toadstool,-,Medium
,Parashroom,マヒダケ,Parashroom,-,Medium
,Shining Jellyfsh,カガヤキクラゲ,Jellyfish Flower,800 Pts,Low

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Flash Bomb,閃光玉,Flash Bomb,-,Medium,Infinite
,Godbug,不死虫,Godbug,-,Medium
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium
,Mega Fishing Fly,釣りフィーバエ,Mega Fishing Fly,-,Medium
,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 Pts ,Medium
,Marilyn Btterfly,マリリンモンシロ,Marilyn Butterfly,500 Pts,Low
,Dragonrock+,上竜岩,Dragonrock+,3000 Pts,Low

Area 3
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,4
,Potion,回復薬,Potion,-,Medium
,Gunpowder,爆薬,Gunpowder,-,Medium
,Honey,ハチミツ,Honey,-,Medium
,Flyn Crwn Frgmnt,ネコ王冠の破片,Felyne Crown Fragment,200 Pts,Low

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Grass,竜草,Wyvern Grass,100 Pts,High,4~6
,Velociprey Lily,ランポスズラン,Velociprey Lilly,500 Pts,Medium
,Dragonrock+,上竜岩,Dragonrock+,3000 Pts,Low

Mining Point  1,Unite Names,Items in Kanji,Items,Points,Chances,Frequency

,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium,3
,Sm Barrel-Bomb,小タル爆弾,Sm Barrel-Bomb,-,Medium
,Wyvern Ore,竜鉱石,Wyvern Ore,100 Pts,Medium
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 Pts,Low
,Dragonrock+,上竜岩,Dragonrock+,3000 Pts,Low

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 Pts,Medium,Infinite
,Mega Fishing Fly,釣りフィーバエ,Mega Fishing Fly,-,Medium
,Rathian Fly,竜虫【雌】,Rathian Fly,300 Pts,Medium
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium
,Dragonrock+,上竜岩,Dragonrock+,3000 Pts,Low

Area 4
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Map,地図,Map,-,Medium,Infinite
,Paintball,ペイントボール,Paintball,-,Medium
,Psychoserum,千里眼の薬,Psychoserum,-,Medium
,Farcaster,モドリ玉,Farcaster,-,Medium
,Dragonrock,竜岩,Dragonrock,2000 Pts,Low

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Whetstone,砥石,Whetstone,-,Medium,4~6
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium
,Wyvern Claw ,竜の爪,Wyvern Claw,-,Medium
,Flyn Crwn Frgmnt,ネコ王冠の破片,Felyne Crown Fragment,200 Pts,Low
,Dragonrock,竜岩,Dragonrock,2000 Pts,Low
,Dragonrock+,上竜岩,Dragonrock+,3000 Pts,Low

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sm Bone Husk,カラ骨【小】,Sm Bone Husk,-,Medium,Infinite
,Huskberry,カラの実,Huskberry,-,Medium
,Water S,水冷弾,Water S,-,Medium
,Herb,薬草,Herb,-,Medium
,Flyn Crwn Frgmnt,ネコ王冠の破片,Felyne Crown Fragment,200 Pts,Low

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sonic Bomb,音爆弾,Sonic Bomb,-,Medium,Infinite
,Mega Potion,回復薬グレート,Mega Potion,-,Medium
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium
,Sm Barrel-Bomb,小タル爆弾,Sm Barrel-Bomb,-,Medium
,Wyvern Ore,竜鉱石,Wyvern Ore,100 Pts,Low
,Dragonrock,竜岩,Dragonrock,2000 Pts,Low

Area 5
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Trap Tool,トラップツール,Trap Tool,-,Medium,2~3
,Net,ネット,Net,-,Medium
,Flyn Crwn Frgmnt,ネコ王冠の破片,Felyne Crown Fragment,200 Pts,Medium

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pellet S Lv1,LV1 散弾,Pellet S Lv1,-,Medium,Infinite
,Sm Bone Husk,カラ骨【小】,Sm Bone Husk,-,Medium
,Wyvern Fang,竜の牙,Wyvern Fang,-,Medium
,Pellet S Lv2,LV2 散弾,Pellet S Lv2,-,Medium
,Wyvernshroom,竜茸,Wyvernshroom,200 Pts,Low

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Paintball,ペイントボール,Paintball,-,Medium,3~5
,Ivy,ツタの葉,Ivy,-,Medium
,Wyvern Grass,竜草,Wyvern Grass,100 Pts,Medium
,Spiderweb,クモの巣,Spiderweb,-,Medium
,Velociprey Lily,ランポスズラン,Velociprey Lilly,500 Pts,Low

Gathering Point 4,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sonic Bomb,音爆弾,Sonic Bomb,-,Medium,2~3
,Potion,回復薬,Potion,-,Medium
,Power Juice,強走薬,Power Juice,-,Medium

Area 6
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Shining Jellyfsh,カガヤキクラゲ,Jellyfish Flower,800 Pts,Medium,3~5
,Demondrug,鬼人薬,Demondrug,-,Medium
,Armorskin,硬化薬,Armorskin,-,Medium
,Wyvernshroom,竜茸,Wyvernshroom,200 Pts,Medium
,Max Potion,秘薬,Max Potion,-,Low

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Velociprey Lily,ランポスズラン,Velociprey Lilly,500 Pts,Medium,4~6
,Wyvern Grass,竜草,Wyvern Grass,100 Pts,Medium
,Felvine,マタタビ,Felvine,-,Medium
,Kelbi Nuts,ケルピーナッツ,Kelbi Nuts,600 Pts,Medium
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 Pts,Low

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pierce S Lv1,LV1 貫通弾,Pierce S Lv1,-,Medium,Infinite
,Pierce S Lv2,LV2 貫通弾,Pierce S Lv2,-,Medium
,Velociprey Fang,ランポスの牙,Velociprey Fang,-,Medium
,Pierce S Lv3,LV3 貫通弾,Pierce S Lv3,-,Medium
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 Pts,Low

Gathering Point 4,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (S),竜石【小】,Dragonite(S),100 Pts,Medium,6~7
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium
,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,Medium
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium
,Inferior FlynCrn,欠けたネコ王冠,Inferior Felyne Crown,300 Pts,Low
,Dragonite (L),竜石【大】,Dragonite(L),500 Pts,Low

Area 7
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 Pts,High,1
,Lao-Shan Melon,ラオシャンメロン,Lao Shan Melon,9000 Pts,Low

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Power Juice,強走薬,Power Juice,-,Medium,3
,Flute,角笛,Flute,-,Medium
,Dragonite (S),竜石【小】,Dragonite(S),100 Pts ,Medium
,Dragonite (L),竜石【大】,Dragonite(L),500 Pts,Low
,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,Low
,Dragonrock+,上竜岩,Dragonrock+,3000 Pts,Low

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 Pts,Medium,6
,Wyvern Ore,竜鉱石,Wyvern Ore,100 Pts,Medium
,Jumboite,ジャンボカイト,Jumboite,500 Pts,Medium
,Telos Stone,テロストーン,Telos stone,800 Pts,Low

Mining Point  2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Ore,竜鉱石,Wyvern Ore,100 Pts,Medium,Infinite
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 Pts,Medium
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Low
,Farcaster,モドリ玉,Farcaster,-,Low
,Jumboite,ジャンボカイト,Jumboite,500 Pts,Low

Area 8
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,Medium,6~8
,Dragonite (L),竜石【大】,Dragonite(L),500 Pts,Medium
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Low
,Inferior FlynCrn,欠けたネコ王冠,Inferior Felyne Crown,300 Pts,Low
,Lao-Shan Melon,ラオシャンメロン,Lao Shan Melon,9000 Pts,Low

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Crag S Lv1,LV1 徹甲榴弾,Crag S Lv1,-,Medium,Infinite
,Crag S Lv2,LV2 徹甲榴弾,Crag S Lv2,-,Medium
,Crag S Lv3,LV3 徹甲榴弾,Crag S Lv3,-,Medium
,Paint S,ペイント弾,Paint S,-,Low

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Kelbi Nuts,ケルピーナッツ,Kelbi Nuts,600 Pts,High,3~6
,Inferior FlynCrn,欠けたネコ王冠,Inferior Felyne Crown,300 Pts,Medium
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Wyvern Ore,竜鉱石,Wyvern Ore,100 Pts,Medium,Infinite
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 Pts,Medium
,Jumboite,ジャンボカイト,Jumboite,500 Pts,Low
,Telos Stone,テロストーン,Telos stone,800 Pts,Low

Area 9
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Worm,釣りミミズ,Worm,-,Medium,5~10
,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 Pts,Medium
,Mega Fishing Fly,釣りフィーバエ,Mega Fishing Fly,-,Medium
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Low
,Rathian Fly,竜虫【雌】,Rathian Fly,300 Pts,Low

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Normal S Lv2,LV2 通常弾,Normal S Lv2,-,Medium,Infinite
,Normal S Lv3,LV3 通常弾,Normal S Lv3,-,Medium
,Para S Lv1,LV1 麻痺弾,Para S Lv1,-,Medium

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Power Coating,強撃ビン,PowerCoating,-,Medium,Infinite
,Poison Coating,毒ビン,PoisonCoatng,-,Medium
,ParalysisCoating,麻痺ビン,Para Coating,-,Medium

Mining Point  1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Jumboite,ジャンボカイト,Jumboite,500 Pts,Medium,5~6
,Old Bugnet,ボロ虫あみ,Old Bugnet,-,Medium
,Pure Wyvern Ore,竜輝石,Pure Wyvern Ore,300 Pts,Medium
,Wyvern Ore,竜鉱石,Wyvern Ore,100 Pts,Medium

Fishing Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Sushifish,サシミウオ,Sushifish,-,Medium,Infinite
,Med Wyvernfish,竜魚【中】,Med Wyvernfish,300 Pts,Medium
,Victory Fish,勝海フィッシュ,Victoryfish,600 Pts,Medium
,Angler Snapper,鯛公望,Bluefin Tuna,1000 Pts,Low

Area 10
Gathering Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Clust S Lv1,LV1 拡散弾,Clust S Lv1,-,Medium,10~20
,Clust S Lv2,LV2 拡散弾,Clust S Lv2,-,Medium
,Clust S Lv3,LV3 拡散弾,Clust S Lv3,-,Medium
,Wyvern Claw ,竜の爪,Wyvern Claw,-,Medium

Gathering Point 2,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Hard Dragonrock,堅竜岩,Hard Dragonrock,3000 Pts,Medium,2
,Buckshot Acorn,砲丸どんぐり,Buckshot Acorn,5000 Pts,Medium

Gathering Point 3,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Dragonite (L),竜石【大】,Dragonite(L),500 Pts,Medium,6~8
,Lg Barrel-Bomb,大タル爆弾,Lg Barrel-Bomb,-,Medium
,Old Pickaxe,ボロピッケル,Old Pickaxe,-,Medium
,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,Medium
,Inferior FlynCrn,欠けたネコ王冠,Inferior Felyne Crown,300 Pts,Low
,Dragonite (S),竜石【小】,Dragonite(S),100 Pts,Low

Bug Point 1,Unite Names,Items in Kanji,Patch Names,Points,Chances,Frequency

,Rathian Fly,竜虫【雌】,Rathian Fly,300 Pts,Medium,4~6
,Rathalos Fly,竜虫【雄】,Rathalos Fly,100 Pts,Medium
,Marilyn Btterfly,マリリンモンシロ,Marilyn Butterfly,500 Pts,Medium
,Cleopatris,クレオパピヨン,Cleo Butterfly,1000 Pts,Low
,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 Pts,Low

Monsters,Unite Names,Items in Kanji,Patch Names,Points,Carves,% Chance,Unite Shiny Drop,Kanji Shiny Drop,2g Shiny Drop,Points,% Chance

Aptonoth,Raw Meat,生肉,Raw Meat,-,2,40%,,,,,
,Well-Done Steak,こんがり肉,Well-Done Steak,-,,35%,,,,,
,Dragonite (S),竜石【小】,Dragonite(S),100 Pts,,20%,,,,,
,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,,5%,,,,,

Yian Kut-Ku,Kut-Ku Gizzards,怪鳥のスナズリ,Kut-Ku Gizzards,2000 Pts,3,,Hard Dragonrock,堅竜岩,Hard Dragonrock,4000 Pts,90%
,Kut-Ku Cartilage,怪鳥のナンコツ,Kut-Ku Cartilage,2500 Pts,,,Kut-Ku Jewel,怪鳥の秘玉,Kut-Ku Jewel,18000 Pts,10%
,Kut-Ku Skin,怪鳥のカワ,Kut-Ku Skin,3000 Pts,,,,,,,
,Kut-Ku Jewel,怪鳥の秘玉,Kut-Ku Jewel,18000 Pts,,,,,,,

Kelbi,Immunizer,活力剤,Immunizer,-,1,50%,,,,,
,Kelbi Horn,ケルビの角,Kelbi Horn,-,,30%,,,,,
,Raw Meat,生肉,Raw Meat,-,,20%,,,,,

Bullfango,Mega Potion,回復薬グレート,Mega Potion,-,1,30%,,,,,
,Flash Bomb,閃光玉,Flash Bomb,-,,25%,,,,,
,Dragonite (S),竜石【小】,Dragonite(S),100 Pts,,20%,,,,,
,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,,13%,,,,,
,Dragonite (L),竜石【大】,Dragonite(L),500 Pts,,8%,,,,,
,Dragonrock,竜岩,Dragonrock,2000 Pts,,4%,,,,,

Melynx,-,-,-,-,-,-,Small Wyvernfish,竜魚【小】,Small Wyvernfish,100 Pts,40%
,,,,,,,Felvine,マタタビ,Felvine,-,30%
,,,,,,,Med Wyvernfish,竜魚【中】,Med Wyvernfish,300 Pts,25%
,,,,,,,Large Wyvernfish,竜魚【大】,Lrg Wyvernfish,500 Pts,5%

Mosswine,Potion,回復薬,Potion,-,1,40%,,,,,
,Catalyst,増強剤,Catalyst,-,,20%,,,,,
,Dragonite (S),竜石【小】,Dragonite(S),100 Pts,,20%,,,,,
,Mega Potion,回復薬グレート,Mega Potion,-,,10%,,,,,
,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,,10%,,,,,

Hermitaur,Dragonite (S),竜石【小】,Dragonite(S),100 Pts,1,30%,,,,,
,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,,25%,,,,,
,Power Seed,怪力の種,Power Seed,-,,20%,,,,,
,Armor Seed,忍耐の種,Armor Seed,-,,20%,,,,,
,Dragonite (L),竜石【大】,Dragonite(L),500 Pts,,5%,,,,,

Vespoid,Paintball,ペイントボール,Paintball,-,1,35%,,,,,
,Gourmet Steak,こんがり肉Ｇ,Gourmet Steak,-,,25%,,,,,
,Dragonite (S),竜石【小】,Dragonite(S),100 Pts ,,25%,,,,,
,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,,15%,,,,,

Velociprey,Paralyze Thr Knf,麻痺投げナイフ,Paralyze Thrw Knf,-,1,30%,,,,,
,Rare Steak,生焼け肉,Rare Steak,-,,20%,,,,,
,Dragonite (S),竜石【小】,Dragonite(S),100 Pts,,20%,,,,,
,Dragonite (M),竜石【中】,Dragonite(M),300 Pts,,15%,,,,,
,Dragonite (L),竜石【大】,Dragonite(L),500 Pts,,10%,,,,,
,Dragonrock,竜岩,Dragonrock,2000 Pts,,5%,,,,,
